Model,Accuracy,Precision,Recall,F1
logistic_regression,0.5808823529411765,0.5445925245098039,0.5808823529411765,0.5540853639546862
decision_tree,0.5147058823529411,0.522762871909526,0.5147058823529411,0.5180964052287581
random_forest,0.625,0.5916951561508883,0.625,0.6050710391108316
knn,0.5625,0.5349103721948549,0.5625,0.5471142025504113
svm,0.5919117647058824,0.5486016335814723,0.5919117647058824,0.5644407952303133
xgboost,0.6066176470588235,0.5824306722689075,0.6066176470588235,0.5910347255189676
