Model,Accuracy,Precision,Recall,F1
logistic_regression,0.8044692737430168,0.8034360168823663,0.8044692737430168,0.8006569011275826
decision_tree,0.8212290502793296,0.8198025887295777,0.8212290502793296,0.819539139853571
random_forest,0.8156424581005587,0.814147133835317,0.8156424581005587,0.8142255079038377
knn,0.8156424581005587,0.8144594150509366,0.8156424581005587,0.8128341275140941
svm,0.8100558659217877,0.8147079362471246,0.8100558659217877,0.8029928172386271
xgboost,0.8044692737430168,0.8032243131368064,0.8044692737430168,0.8036119392183224
