Model,Accuracy,Precision,Recall,F1
logistic_regression,0.9021428571428571,0.9019817676778713,0.9021428571428571,0.9019224021046994
decision_tree,0.8551190476190477,0.8550323349818262,0.8551190476190477,0.8550226875655283
random_forest,0.964047619047619,0.9640445306810086,0.964047619047619,0.9640186574201557
knn,0.9375,0.9378845189356224,0.9375,0.9372496637823607
svm,0.9571428571428572,0.9574391981706937,0.9571428571428572,0.9571477240391387
xgboost,0.9739285714285715,0.9740112081640679,0.9739285714285715,0.9739334871545342
