Model,Accuracy,Precision,Recall,F1
logistic_regression,0.9093006313744536,0.8982635874066408,0.9093006313744536,0.9006602770866851
decision_tree,0.8918164157357941,0.8917655387942587,0.8918164157357941,0.8917909563483774
random_forest,0.9117289946576008,0.9034754407523063,0.9117289946576008,0.9060853873184284
knn,0.8984944147644488,0.8825158735399842,0.8984944147644488,0.8861490681260502
svm,0.9082078678970374,0.8956888914821775,0.9082078678970374,0.8973371491447015
xgboost,0.9135502671199611,0.9090975875903595,0.9135502671199611,0.9109617268101968
